patch_id,path,image_id,x1,y1,x2,y2,label,coverage,track_ratio
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0033,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0033.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,736,224,800,288,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0034,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0034.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,768,224,832,288,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0035,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0035.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,800,224,864,288,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0036,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0036.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,832,224,896,288,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0037,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0037.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,864,224,928,288,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0038,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0038.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,896,224,960,288,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0039,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0039.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,928,224,992,288,Low,0.984375,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0040,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0040.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,960,224,1024,288,Low,0.484375,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0041,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0041.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,448,256,512,320,Low,0.75,0.84130859375
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0042,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0042.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,480,256,544,320,Low,1.0,0.875
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0043,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0043.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,512,256,576,320,Low,1.0,0.935546875
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0044,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0044.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,544,256,608,320,Low,1.0,0.994140625
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0045,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0045.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,576,256,640,320,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0046,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0046.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,608,256,672,320,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0047,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0047.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,640,256,704,320,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0048,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0048.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,672,256,736,320,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0049,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0049.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,704,256,768,320,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0050,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0050.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,736,256,800,320,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0051,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0051.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,768,256,832,320,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0052,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0052.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,800,256,864,320,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0053,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0053.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,832,256,896,320,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0054,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0054.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,864,256,928,320,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0055,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0055.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,896,256,960,320,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0056,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0056.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,928,256,992,320,Low,0.984375,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0057,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0057.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,960,256,1024,320,Low,0.484375,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0058,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0058.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,448,288,512,352,Low,0.75,0.92626953125
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0059,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0059.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,480,288,544,352,Low,1.0,0.99658203125
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0060,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0060.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,512,288,576,352,Low,1.0,0.99951171875
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0061,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0061.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,544,288,608,352,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0062,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0062.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,576,288,640,352,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0063,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0063.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,608,288,672,352,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0064,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0064.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,640,288,704,352,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0065,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0065.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,672,288,736,352,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0066,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0066.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,704,288,768,352,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0067,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0067.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,736,288,800,352,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0068,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0068.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,768,288,832,352,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0069,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0069.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,800,288,864,352,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0070,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0070.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,832,288,896,352,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0071,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0071.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,864,288,928,352,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0072,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0072.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,896,288,960,352,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0073,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0073.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,928,288,992,352,Low,0.984375,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0074,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0074.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,960,288,1024,352,Low,0.484375,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0075,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0075.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,448,320,512,384,Low,0.75,0.997314453125
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0076,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0076.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,480,320,544,384,Low,1.0,0.9931640625
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0077,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0077.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,512,320,576,384,Low,1.0,0.990234375
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0078,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0078.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,544,320,608,384,Low,1.0,0.99462890625
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0079,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0079.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,576,320,640,384,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0080,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0080.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,608,320,672,384,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0081,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0081.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,640,320,704,384,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0082,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0082.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,672,320,736,384,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0083,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0083.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,704,320,768,384,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0084,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0084.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,736,320,800,384,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0085,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0085.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,768,320,832,384,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0086,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0086.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,800,320,864,384,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0087,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0087.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,832,320,896,384,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0088,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0088.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,864,320,928,384,Low,1.0,1.0
WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0089,data/patches/images/WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented_patch_0089.jpg,WhatsApp Image 2025-11-15 at 21.42.26_b1e466ed_color_segmented,896,320,960,384,Low,1.0,1.0
